Word,RoughnessMean,HardnessMean,MainYear,EtymonYear,Etymology,Origin,IE_root_watkins_2000,DetailedForm_watkins_2000,AlternativeForm,CommentOnOEDFullSense
satiny,-5.3,-5,1786,?a1366,satin,French,NA,NA,,
scaly,1.9,NA,1528,?a1200/c1275,scale,Germanic,(s)kel-,(s)kel-,scale,
scratchy,5,NA,1710,1474,scratch,"apparently produced by a confusion of the synonymous scrat n., cratch v.",grat-,grat-,scratch,
scrunchy,0.6,NA,?1905,1806,craunch,variation of cranch,NA,NA,,
sequined,3.3,NA,1894,1613,sequin,French borrowing,NA,NA,,entry of 'sequin'
serrated,4,NA,1703,1668,serrate,late Latin borrowing,NA,NA,,
sharp,NA,3.4,c825/a1225,,,Germanic,(s)ker-,(s)ker-1,,
shiny,-4.2,NA,1590,c725,shine,Germanic,skai-,skai-,shine,
silky,-5.9,-5.7,1611,c888,silk,commonly supposed to be Latin,NA,NA,,
sleek,-4.6,NA,1600,?a1366,slick,later variant of 'slick'; Germanc,NA,NA,,
slick,-5.5,NA,?a1366,,,Germanic,(s)lei-,(s)lei-,,
slimy,-5.2,NA,1398,a1000,slime,Germanic,(s)lei-,(s)lei-,slime,
slippery,-6.2,NA,1535,a1050,slipper,alteration of 'slipper',(s)lei-,(s)lei-,,
smooshy,NA,-5.1,NA,NA,NA,NA,NA,NA,,
smooth,-6.9,NA,a1050,c725,smeeth,Germanic,NA,NA,,
soft,NA,-6.3,c1000,,,Germanic,NA,NA,,
soggy,NA,-4.3,a1722,a1552,sog,of obscure origin,NA,NA,,
solid,NA,5.9,c1400,,,French borrowing,sol-,sol-,,
spiky,5.8,3.8,1578,1393,spike,Latin,NA,NA,,
spongy,NA,-3.7,1539,c1000,sponge,"Greek through Latin, OE",NA,NA,,
squeezable,NA,-3.8,1813,1601,squeeze,perhaps strengthened form of 'quease',NA,NA,,
squishy,NA,-4.6,1847,1647,squish,imitative,NA,NA,,
starched,NA,1.3,1617,c1000,stark,Germanic,ster-,ster-,starch,
steel,NA,5.3,c725,,,Germanic,NA,NA,,
stiff,NA,4.9,1000,,,Germanic,steip-,steip-,,
stubbly,5,1.8,1600,1297,stubble,French borrowing,steip-,steip-,stubble,
suede,-3.6,-3.3,1859,,,French borrowing,NA,NA,,
tender,NA,-5,?a1200/?c1225,,,French borrowing,ten-,ten-,,
textured,0.8,NA,1888,1447,texture,Latin (through French?),NA,NA,,
thorny,5.8,NA,a1023,c950/OE/c1000,thorn,Germanic,(s)ter-n-,(s)ter-n-,thorn,
tin,-1.8,2.3,c897,,,Germanic,NA,NA,,
tough,NA,4.7,a700,,,Germanic,denk-,denk-,,
varnished,-3.7,NA,1553,1341-1342,varnish,French borrowing,NA,NA,,
velour,NA,-3.8,1706,1587,velure,French borrowing,wel-,wel-,,
velvety,-5.3,-5.3,1752,1320,velvet,Latin,wel-,wel-,velvet,
wafflish,1.6,NA,1930,1295,wafer,French borrowing,webh-,webh-,waffle,entry of 'waffle'; used the textile sense
waxy,-3.6,NA,1552,805-810,wax,Germanic,wokso-,wokso-,wax,
wooden,1.3,3.8,1538,c725/OE,wood,Germanic,widhu-,widhu-,wood,
woolly,0,-1.5,1591,c725,wool,Germanic,wele-,wele-,wool,
woven,-0.2,NA,c1478/1488,c900,weave,Germanic,webh-,webh-,weave,
