Dataset.x,language.id,language.name,glottocode,latitude,longitude,family,concept,form_id,value,form,Language_broad,n,Dataset.y,AutotypMatch,R_type,Comments,PhoibleMatch,Trill
hantganbangime,hantganbangime-Najamba,Najamba,bond1248,14.9,-3.42,Dogon,ROUGH,hantganbangime-Najamba-212_rough-1,yágàjà,yágàjà,Najamba,1,CLICS,dbu,NA,NA,NA,NA
hantganbangime,hantganbangime-Nanga,Nanga,nang1261,14.72,-3.02,Dogon,ROUGH,hantganbangime-Nanga-212_rough-1,kùnjí,kùnjí,Nanga,1,CLICS,nzz,NA,NA,NA,NA
hantganbangime,hantganbangime-Songhai_Senni,Songhai_Senni,humb1243,15.28,-1.7,Songhay,ROUGH,hantganbangime-Songhai_Senni-212_rough-1,kàs-ò,kàs-ò,Songhai_Senni,1,CLICS,hmb,NA,NA,NA,NA
hantganbangime,hantganbangime-Tiranige_Diga,Tiranige_Diga,tira1258,14.8,-3.72,Dogon,ROUGH,hantganbangime-Tiranige_Diga-212_rough-1,yágárá,yágárá,Tiranige_Diga,1,CLICS,tde,NA,NA,NA,NA
hantganbangime,hantganbangime-Togo_Kan,Togo_Kan,togo1254,14.16,-3.38,Dogon,ROUGH,hantganbangime-Togo_Kan-212_rough-1,kágájú,kágájú,Togo_Kan,1,CLICS,dtm,no trill,wiki,NA,NA
hantganbangime,hantganbangime-Tommo_So,Tommo_So,tomm1242,14.67,-3.51,Dogon,ROUGH,hantganbangime-Tommo_So-212_rough-1,yágárú,yágárú,Tommo_So,1,CLICS,dto,no trill,wiki,NA,NA
hantganbangime,hantganbangime-Yanda_Dom,Yanda_Dom,yand1257,14.63,-3.15,Dogon,ROUGH,hantganbangime-Yanda_Dom-212_rough-1,kùnzù,kùnzù,Yanda_Dom,1,CLICS,dym,NA,NA,NA,NA
hantganbangime,hantganbangime-Songhai_Kiini,Songhai_Kiini,koyr1240,15.21,-2.75,Songhay,ROUGH,hantganbangime-Songhai_Kiini-212_rough-1,kà:s-ǒ:,kà:s-ǒ:,Songhai_Kiini,1,CLICS,khq,NA,NA,khq,NA
hubercolumbian,hubercolumbian-Kamsa,Kamsá,cams1241,1.14537,-76.8931,Camsá,SMOOTH,hubercolumbian-Kamsa-342_smooth-1,bi̵ngi̵njána,bi̵ngi̵njána,Kamsá,1,CLICS,kbh,NA,NA,kbh,NA
hubercolumbian,hubercolumbian-Achagua,Achagua,acha1250,4.38649,-72.2005,Arawakan,SMOOTH,hubercolumbian-Achagua-342_smooth-1,imíijai,imíijai,Achagua,1,CLICS,aca,NA,NA,aca,NA
hubercolumbian,hubercolumbian-Achagua,Achagua,acha1250,4.38649,-72.2005,Arawakan,SMOOTH,hubercolumbian-Achagua-342_smooth-2,ituéjii,ituéjii,Achagua,1,CLICS,aca,NA,NA,aca,NA
hubercolumbian,hubercolumbian-Awa,Awa,awac1239,1.21652,-78.3401,Barbacoan,SMOOTH,hubercolumbian-Awa-342_smooth-1,si̵nam,si̵nam,Awa,1,CLICS,kwi,NA,NA,kwi,NA
hubercolumbian,hubercolumbian-Bora,Bora,bora1263,-2.91467,-68.9093,Boran,SMOOTH,hubercolumbian-Bora-342_smooth-1,pʰí̵rɯɯkʰɯ́né,pʰí̵rɯɯkʰɯ́né,Bora,1,CLICS,boa,NA,NA,boa,NA
hubercolumbian,hubercolumbian-Bora,Bora,bora1263,-2.91467,-68.9093,Boran,SMOOTH,hubercolumbian-Bora-342_smooth-2,mééβane,mééβane,Bora,1,CLICS,boa,NA,NA,boa,NA
hubercolumbian,hubercolumbian-Bora,Bora,bora1263,-2.91467,-68.9093,Boran,SMOOTH,hubercolumbian-Bora-342_smooth-3,rɯtʰɯ́rɯ́tʰɯ,rɯtʰɯ́rɯ́tʰɯ,Bora,1,CLICS,boa,NA,NA,boa,NA
hubercolumbian,hubercolumbian-Bora,Bora,bora1263,-2.91467,-68.9093,Boran,SMOOTH,hubercolumbian-Bora-342_smooth-4,tʰɯ́ʔtʰɯ́ríβatʰɯ́ne,tʰɯ́ʔtʰɯ́ríβatʰɯ́ne,Bora,1,CLICS,boa,NA,NA,boa,NA
hubercolumbian,hubercolumbian-Bari,Barí,bari1297,9.08497,-72.9353,Chibchan,SMOOTH,hubercolumbian-Bari-342_smooth-1,atrobiʃininə,atrobiʃininə,Barí,1,IDS,mot,NA,NA,mot,NA
hubercolumbian,hubercolumbian-Bara,Bará,waim1255,0.30416,-70.1644,Tucanoan,SMOOTH,hubercolumbian-Bara-342_smooth-1,hipí,hipí,Bará,1,CLICS,bao,NA,NA,bao,NA
hubercolumbian,hubercolumbian-Guahibo,Guahibo,guah1255,5.81736,-68.9839,Guahiboan,SMOOTH,hubercolumbian-Guahibo-342_smooth-1,ahué,ahué,Guahibo,1,CLICS,guh,NA,NA,guh,NA
hubercolumbian,hubercolumbian-Guahibo,Guahibo,guah1255,5.81736,-68.9839,Guahiboan,SMOOTH,hubercolumbian-Guahibo-342_smooth-2,kónihai,kónihai,Guahibo,1,CLICS,guh,NA,NA,guh,NA
hubercolumbian,hubercolumbian-Guahibo,Guahibo,guah1255,5.81736,-68.9839,Guahiboan,SMOOTH,hubercolumbian-Guahibo-342_smooth-3,hapína,hapína,Guahibo,1,CLICS,guh,NA,NA,guh,NA
hubercolumbian,hubercolumbian-Guahibo,Guahibo,guah1255,5.81736,-68.9839,Guahiboan,SMOOTH,hubercolumbian-Guahibo-342_smooth-4,huehnéka,huehnéka,Guahibo,1,CLICS,guh,NA,NA,guh,NA
hubercolumbian,hubercolumbian-Barasana,Barasana,bara1380,0.02193,-70.808,Tucanoan,SMOOTH,hubercolumbian-Barasana-342_smooth-1,gosí,gosí,Barasana,1,CLICS,bsn,NA,NA,bsn,NA
hubercolumbian,hubercolumbian-Secoya,Secoya,seco1241,-0.459785,-75.5547,Tucanoan,SMOOTH,hubercolumbian-Secoya-342_smooth-1,koʔsihaʔiko,koʔsihaʔiko,Secoya,1,CLICS,sey,NA,NA,sey,NA
hubercolumbian,hubercolumbian-Guambiano,Guambiano,guam1248,2.55849,-76.582,Barbacoan,SMOOTH,hubercolumbian-Guambiano-342_smooth-1,mil,mil,Guambiano,1,CLICS,gum,NA,NA,gum,NA
hubercolumbian,hubercolumbian-Cuiba,Cuiba,cuib1242,6.19829,-69.8197,Guahiboan,SMOOTH,hubercolumbian-Cuiba-342_smooth-1,áxue,áxue,Cuiba,1,CLICS,cui,NA,NA,cui,NA
