LID,ISO639.3,language,alt.language.name,language.search,lsbranch,ssbranch,sbranch,mbranch,stock,alt.stock.name,stock.search,longitude,latitude,area,continent
294,egy,Egyptian (Ancient),Egyptian (Ancient),"Egyptian (Ancient), Egyptian (Ancient)",,,,,Egyptian,,Egyptian,31,30,N Africa,Africa
15,akk,Akkadian,Akkadian,"Akkadian, Akkadian",,,Akkadian,East Semitic,Semitic,,Semitic,44.37,32.5,Greater Mesopotamia,W and SW Eurasia
23,arb,Arabic,"Arabic, Modern Standard Arabic","Arabic, Arabic, Modern Standard Arabic",Arabic,South-Central Semitic,Central (West Semitic),West Semitic,Semitic,,Semitic,31,30,N Africa,Africa
21,amh,Amharic,"Amharic, Ethiopic","Amharic, Amharic, Ethiopic",,Ethiopean,Southern (West Semitic),West Semitic,Semitic,,Semitic,38,10,Greater Abyssinia,Africa
65,mdx,Dizi,"Dizi, Dizi-Maji, Dizinog, Dizinya, Maji, Majinya, Sizi, Twoyu, Dizin","Dizi, Dizi, Dizi-Maji, Dizinog, Dizinya, Maji, Majinya, Sizi, Twoyu, Dizin",,,,,Omotic,,Omotic,36.5,6.17,Greater Abyssinia,Africa
324,hae,Oromo,"Oromo, Harar, Qotu Oromo, Harer, Qottu, Quottu, Qwottu, Kwottu, Ittu","Oromo, Oromo, Harar, Qotu Oromo, Harer, Qottu, Quottu, Qwottu, Kwottu, Ittu",,,,Eastern Cushitic,Cushitic,,Cushitic,38,0,S Africa,Africa
34,bej,Beja,Beja,"Beja, Beja",,,,,Beja,,Beja,36,18,N Africa,Africa
360,sux,Sumerian,Sumerian,"Sumerian, Sumerian",,,,,Sumerian,,Sumerian,45,33,Greater Mesopotamia,W and SW Eurasia
73,elx,Elamite,Elamite,"Elamite, Elamite",,,,,Elamite,,Elamite,51,32,Greater Mesopotamia,W and SW Eurasia
108,xhu,Hurrian,Hurrian,"Hurrian, Hurrian",,,,,Hurro-Urartean,,Hurro-Urartean,40,37,Greater Mesopotamia,W and SW Eurasia
32,eus,Basque,Basque,"Basque, Basque",,,,,Basque,,Basque,-3,43,Europe,W and SW Eurasia
100,hit,Hittite,Hittite,"Hittite, Hittite",,,,Anatolian,Indo-European,,Indo-European,33,39,Greater Mesopotamia,W and SW Eurasia
301,,Tocharian,Tocharian,"Tocharian, Tocharian",,,,Tocharian,Indo-European,,Indo-European,83,41,Inner Asia,N-C Asia
79,fra,French (colloquial),French (colloquial),"French (colloquial), French (colloquial)",,,Italic,Italic-Celtic,Indo-European,,Indo-European,2,48,Europe,W and SW Eurasia
25,hye,Armenian (Eastern),Armenian (Eastern),"Armenian (Eastern), Armenian (Eastern)",,,Armenian,Greek-Armenian,Indo-European,,Indo-European,45,40,Greater Mesopotamia,W and SW Eurasia
74,eng,English,English,"English, English",,,West Germanic,Germanic,Indo-European,,Indo-European,0,52,Europe,W and SW Eurasia
340,rus,Russian,Russian,"Russian, Russian",,East Slavic,Slavic,Balto-Slavic,Indo-European,,Indo-European,38,56,Inner Asia,N-C Asia
