ID,Name,Parameter,Language,Frequency,Confidence,References
lexirumah-meya1236-smooth-1,efeta,SMOOTH,Meyah,,,
ids-191-15-770-2,effen,SMOOTH,Dutch,,,
hubercolumbian-Chapalaachi-334_smooth-1,ehtsamiljalja,SMOOTH,Cha'palaachi,,,
lexirumah-mosk1236-smooth-1,ejwarsa,SMOOTH,Moskona,,,
tryonsolomon-ghanongga-250_smooth-1,emese,SMOOTH,Ghanongga,,,
tryonsolomon-lungga-250_smooth-1,emese,SMOOTH,Lungga,,,
lexirumah-buru1303-smooth-1,emribe,SMOOTH,Buru,,,
ids-173-15-770-1,erekkuru,SMOOTH,Macushi,,,
hubercolumbian-Yukpa-334_smooth-1,erora,SMOOTH,Yukpa,,,
lexirumah-mani1235-smooth-1,eskraha,SMOOTH,Sougb,,,
ids-241-15-770-1,fakangaere,SMOOTH,Tuamotuan,,,
tryonsolomon-kokota-250_smooth-1,fanogano,SMOOTH,Kokota,,,
tryonsolomon-santacatalina-250_smooth-1,fatara,SMOOTH,Santa Catalina,,,
hubercolumbian-Ocaina-334_smooth-1,fiiji,SMOOTH,Ocaina,,,
ids-183-15-770-1,flour,SMOOTH,Breton,,,
lexirumah-maka1316-smooth-1,fukal,SMOOTH,Makasae,,,
ids-325-15-770-1,gagalu,SMOOTH,Khwarshi (Kwantlada dialect),,,
ids-41-15-770-1,gagalu,SMOOTH,Khwarshi (Khwarshi dialect),,,
ids-54-15-770-1,gagalu,SMOOTH,Khwarshi (Inkhokvari dialect),,,
ids-162-15-770-1,gagaru,SMOOTH,Tsez (Mokok dialect) ,,,
ids-42-15-770-1,gagaru,SMOOTH,Hinuq,,,
ids-506-15-770-1,galagil,SMOOTH,Dargwa (Gubden dialect),,,
ids-507-15-770-1,galagil,SMOOTH,Dargwa (Kadar dialect),,,
ids-509-15-770-1,galagil,SMOOTH,Dargwa (Mekegi dialect),,,
ids-57-15-770-1,galagsi,SMOOTH,Dargwa,,,
ids-69-15-770-1,gamavar,SMOOTH,Khinalug,,,
ids-80-15-770-1,gamavar,SMOOTH,Udi,,,
ids-527-15-770-1,gamavaryd,SMOOTH,Rutul (Borchino Khnow dialect),,,
ids-70-15-770-1,gamavaryn,SMOOTH,Tsakhur,,,
diacl-56900-149_smooth-1,gangali,SMOOTH,Laz,,,
ids-316-15-770-1,garchichii,SMOOTH,Andi (Muni dialect),,,
ids-32-15-770-1,garchichii,SMOOTH,Andi,,,
tryonsolomon-mbaniata-250_smooth-2,gegozo,SMOOTH,Mbaniata,,,
ids-518-15-770-1,giamavar,SMOOTH,Kryz,,,
ids-63-15-770-1,giamavar,SMOOTH,Budukh,,,
northeuralex-udm-493_smooth-1,gilit,SMOOTH,Udmurt,,,
ids-254-15-770-1,giyachi,SMOOTH,Cofán,,,
ids-191-15-770-1,glad,SMOOTH,Dutch,,,
northeuralex-dan-493_smooth-1,glad,SMOOTH,Danish,,,
wold-Dutch-1039_smooth-1,glad,SMOOTH,Dutch,,,
ids-201-15-770-1,gladak,SMOOTH,Serbo-Croatian,,,
northeuralex-hrv-493_smooth-1,gladak,SMOOTH,Croatian,,,
northeuralex-slv-493_smooth-1,gladek,SMOOTH,Slovene,,,
ids-200-15-770-1,glad@k,SMOOTH,Bulgarian,,,
ids-203-15-770-1,gladki,SMOOTH,Polish,,,
northeuralex-bel-493_smooth-1,gladki,SMOOTH,Belarusian,,,
ids-204-15-770-1,gladkij,SMOOTH,Russian,,,
northeuralex-rus-493_smooth-1,gladkij,SMOOTH,Russian,,,
diacl-47000-149_smooth-1,gladko,SMOOTH,Romani (North Russian),,,
northeuralex-bul-493_smooth-1,gladuk,SMOOTH,Bulgarian,,,
ids-199-15-770-1,gladuku,SMOOTH,Old Church Slavonic,,,
ids-186-15-770-1,glat,SMOOTH,Danish,,,
ids-193-15-770-1,glat,SMOOTH,Middle High German ,,,
northeuralex-deu-493_smooth-1,glat,SMOOTH,German,,,
northeuralex-nld-493_smooth-1,glat,SMOOTH,Dutch,,,
northeuralex-nor-493_smooth-1,glat,SMOOTH,Norwegian (Bokmål),,,
