ID,Name,Parameter,Language,Frequency,Confidence,References
lexirumah-kula1280-lanto-rough-2,kapita,ROUGH,"Kula, Lantoka",,,
ids-284-15-760-1,kapuluna,ROUGH,Itonama,,,
lexirumah-keda1252-leuba-rough-1,karang,ROUGH,"Kedang, Leubatang",,,
lexirumah-blag1240-tuntu-rough-1,karatang,ROUGH,"Blagar, Tuntuli",,,
ids-708-15-760-1,karatumuratana,ROUGH,Tamil,,,
ids-127-15-760-1,kare,ROUGH,Estonian,,,
ids-128-15-760-2,karkea,ROUGH,Finnish,,,
ids-127-15-760-2,karm,ROUGH,Estonian,,,
lexirumah-alor1247-besar-rough-1,karo,ROUGH,"Alorese, Alor-Besar",,,
lexirumah-alor1247-kecil-rough-1,karo,ROUGH,"Alorese, Kecil",,,
ids-825-15-760-2,karoj33,ROUGH,Kha Poong,,,
lexirumah-bima1247-rough-1,kasa,ROUGH,Bima,,,
lexirumah-nage1237-rough-1,kasa,ROUGH,"Nage, East",,,
lexirumah-alor1247-beaon-rough-1,kasar,ROUGH,"Alorese, Beaong Onong",,,
lexirumah-alor1247-helan-rough-1,kasar,ROUGH,"Alorese, Helandohi",,,
lexirumah-alor1247-maric-rough-1,kasar,ROUGH,"Alorese, Marica",,,
lexirumah-alor1247-terna-rough-1,kasar,ROUGH,"Alorese, Ternate",,,
lexirumah-alor1247-waila-rough-1,kasar,ROUGH,"Alorese, Wailawar",,,
lexirumah-batu1258-rough-1,kasar,ROUGH,Batuley,,,
lexirumah-indo1316-lexi-rough-1,kasar,ROUGH,Indonesian,,,
lexirumah-kula1280-lanto-rough-1,kasar,ROUGH,"Kula, Lantoka",,,
lexirumah-sawa1247-rough-2,kasar,ROUGH,Sawai,,,
lexirumah-urua1244-rough-1,kasar,ROUGH,Uruangnirin,,,
lexirumah-waer1237-rough-1,kasar,ROUGH,Waerana,,,
wold-CeqWong-1038_rough1-1,kasar,ROUGH,Ceq Wong,,,
wold-Indonesian-1038_rough1-1,kasar,ROUGH,Indonesian,,,
lexirumah-woli1241-rough-1,kasara,ROUGH,Wolio,,,
ids-228-15-760-1,kasixaax,ROUGH,Tlingit,,,
hantganbangime-Songhai_Kiini-212_rough-1,kaso,ROUGH,Songhai_Kiini,,,
hantganbangime-Songhai_Senni-212_rough-1,kaso,ROUGH,Songhai_Senni,,,
hantganbangime-Bankan_Tey-212_rough-1,kasu,ROUGH,Bankan_Tey,,,
halenepal-Kham-1677_rough-1,katalamatalao,ROUGH,Kham,,,
ids-69-15-760-2,katangaz,ROUGH,Khinalug,,,
lexirumah-lamm1241-westp-rough-1,katangkatang,ROUGH,Tubbe,,,
robinsonap-westernpantar-235_rough-1,katangkatang,ROUGH,Western Pantar,,,
ids-519-15-760-2,katkat,ROUGH,Kumyk (Dorgeli dialect),,,
ids-520-15-760-2,katti,ROUGH,Kumyk (Kajtak Tumenler dialect),,,
ids-73-15-760-1,katy,ROUGH,Nogai,,,
ids-220-15-760-1,kaushi,ROUGH,Hausa,,,
ids-126-15-760-1,kazyamo,ROUGH,Erzya Mordvin,,,
ids-73-15-760-2,kelissizetilgen,ROUGH,Nogai,,,
marrisonnaga-KhonomaAngami-617_rough-1,kemehe,ROUGH,Angami Khonoma,,,
marrisonnaga-KohimaAngami-617_rough-1,kemehie,ROUGH,Angami Kohima,,,
wold-KildinSaami-1038_rough1-1,kerr,ROUGH,Kildin Saami,,,
ids-314-15-760-1,kesak,ROUGH,Toba,,,
marrisonnaga-Zeme-617_rough-1,keteratbe,ROUGH,Zeme,,,
ids-808-15-760-1,kha55,ROUGH,Rumai,,,
ids-509-15-760-1,khabkha,ROUGH,Dargwa (Mekegi dialect),,,
ids-514-15-760-1,khabkha,ROUGH,Dargwa (Urakhi dialect),,,
ids-525-15-760-1,khabkhassa,ROUGH,Lak (Balkhar dialect),,,
ids-322-15-760-1,khachab,ROUGH,Avar (East Gergebil dialect),,,
ids-323-15-760-1,khachab,ROUGH,Avar (Ansalta dialect),,,
ids-324-15-760-1,khachab,ROUGH,Avar (Salatav dialect),,,
ids-320-15-760-1,khachia,ROUGH,Avar (Araderikh dialect),,,
ids-321-15-760-1,khachia,ROUGH,Avar (Khunzakh dialect),,,
ids-107-15-760-1,khachiab,ROUGH,Avar,,,
ids-27-15-760-1,khachiab,ROUGH,Avar (Hid dialect),,,
ids-28-15-760-1,khachiab,ROUGH,Avar (Andalal dialect),,,
ids-29-15-760-1,khachiab,ROUGH,Avar (Antsukh dialect),,,
ids-31-15-760-1,khachiab,ROUGH,Avar (Karakh dialect),,,
ids-38-15-760-1,khachiab,ROUGH,Godoberi,,,
ids-517-15-760-2,khachiab,ROUGH,Bezhta (Khasharkhota dialect),,,
ids-52-15-760-2,khachiab,ROUGH,Hunzib,,,
ids-531-15-760-2,khachiab,ROUGH,"Bezhta (Tlyadal dialect, Karauzek subdialect)",,,
ids-33-15-760-1,khachiadabe,ROUGH,Akhvakh (Northern dialect),,,
ids-42-15-760-2,khachiav,ROUGH,Hinuq,,,
ids-160-15-760-1,khachichio,ROUGH,Bezhta,,,
ids-34-15-760-1,khachiedab,ROUGH,Akhvakh (Southern dialect),,,
ids-32-15-760-1,khachii,ROUGH,Andi,,,
ids-39-15-760-1,khachiob,ROUGH,Karata,,,
ids-501-15-760-1,khachiu,ROUGH,Botlikh (Miarso dialect),,,
ids-35-15-760-1,khachiub,ROUGH,Bagvalal,,,
ids-40-15-760-1,khachiub,ROUGH,Karata (Tokitin dialect),,,
ids-51-15-760-2,khachiub,ROUGH,Chamalal,,,
ids-502-15-760-1,khacho,ROUGH,Chamalal (Gigatli dialect),,,
ids-266-15-760-1,khaduraizabau,ROUGH,Wapishana,,,
marrisonnaga-Tangkhul-617_rough-1,khamarao,ROUGH,Tangkhul,,,
ids-705-15-760-1,kharabarit,ROUGH,Marathi,,,
ids-62-15-760-1,kharkhadut,ROUGH,Archi (variety 1),,,
ids-534-15-760-1,kharkhattut,ROUGH,Archi (variety 2),,,
