ID,Name,Parameter,Language,Frequency,Confidence,References,Language_broad,n,Dataset,AutotypMatch,R_type,Comments,PhoibleMatch
ids-69-15-760-1,kubut,ROUGH,Khinalug,NA,NA,NA,Khinalug,1,CLICS,kjj,trill,wiki,NA
marrisonnaga-Sema-617_rough-1,kukokileikeu,ROUGH,Sema,NA,NA,NA,Sema,1,CLICS,nsm,NA,NA,nsm
wold-Hup-1038_rough1-1,kukuc,ROUGH,Hup,NA,NA,NA,Hup,1,CLICS,jup,NA,NA,jup
hantganbangime-Nanga-212_rough-1,kunji,ROUGH,Nanga,NA,NA,NA,Nanga,1,CLICS,nzz,NA,NA,NA
hantganbangime-Ben_Tey-212_rough-1,kunjum,ROUGH,Ben_Tey,NA,NA,NA,Ben_Tey,1,CLICS,dbt,NA,NA,NA
hantganbangime-Jamsay-212_rough-1,kunu,ROUGH,Jamsay,NA,NA,NA,Jamsay,1,CLICS,djm,NA,NA,djm
hantganbangime-Yanda_Dom-212_rough-1,kunzu,ROUGH,Yanda_Dom,NA,NA,NA,Yanda_Dom,1,CLICS,dym,NA,NA,NA
wold-Qeqchi-1038_rough1-4,kurux,ROUGH,Q'eqchi',NA,NA,NA,Q'eqchi',1,CLICS,kek,NA,NA,kek
lexirumah-dobe1238-rough-1,kwumir,ROUGH,Dobel,NA,NA,NA,Dobel,1,CLICS,kvo,trill,"Hughes, Jock (2000). ""The morphology of Dobel, Aru, with special reference to reduplication"". In Grimes, C.E. (ed.). Spices from the East: Papers in languages of Eastern Indonesia. Pacific Linguistics No. 503. Canberra: Pacific Linguistics. pp. 131–180. doi:10.15144/PL-503.131.",NA
halenepal-Thakali-1677_rough-1,kyohngpa,ROUGH,Thakali,NA,NA,NA,Thakali,1,CLICS,ths,NA,NA,NA
marrisonnaga-Jingpho-617_rough-2,laja,ROUGH,Jingpho,NA,NA,NA,Jingpho,1,CLICS,kac,NA,NA,kac
ids-416-15-760-1,lau4,ROUGH,Maonan,NA,NA,NA,Maonan,1,CLICS,mmd,NA,NA,NA
wold-Oroqen-1038_rough1-1,l@rin,ROUGH,Oroqen,NA,NA,NA,Oroqen,1,CLICS,orh,NA,NA,NA
lexirumah-waim1252-rough-1,maga,ROUGH,Waima'a,NA,NA,NA,Waima'a,1,CLICS,wmh,NA,NA,NA
marrisonnaga-Maram-617_rough-1,magham,ROUGH,Maram,NA,NA,NA,Maram,1,CLICS,nma,NA,NA,NA
marrisonnaga-Liangmai-617_rough-1,manaikamakbu,ROUGH,Liangmai,NA,NA,NA,Liangmai,1,CLICS,njn,NA,NA,NA
halenepal-Sunwar-1677_rough-1,masilsil,ROUGH,Sunwar,NA,NA,NA,Sunwar,1,CLICS,suz,trill,"""A Grammar of Sunwar"". Dörte Borchers. Retrieved 27 August 2018.",NA
halenepal-Khaling-1677_rough-1,masolaemim,ROUGH,Khaling,NA,NA,NA,Khaling,1,CLICS,klr,trill,http://www.ling.sinica.edu.tw/files/publication/j2012_6_03_7314.pdf,NA
marrisonnaga-Puiron-617_rough-1,matyengmaknu,ROUGH,Puiron,NA,NA,NA,Puiron,1,CLICS,nbu,NA,NA,NA
ids-68-15-760-1,meshrebsuz,ROUGH,Tabasaran (Southern dialect),NA,NA,NA,Tabasaran,2,CLICS,tab,trill,wiki,NA
ids-75-15-760-1,morsa,ROUGH,Chechen,NA,NA,NA,Chechen,2,CLICS,che,NA,NA,che
ids-419-15-760-1,mut323,ROUGH,Southern Kam,NA,NA,NA,Southern Kam,1,CLICS,doc; kmc,no trill,wiki,NA
hantganbangime-Fulfulde-212_rough-1,naadeede,ROUGH,Fulfulde,NA,NA,NA,Fulfulde,1,CLICS,ffm,NA,NA,ffm
marrisonnaga-Manipuri-617_rough-1,nandaba,ROUGH,Manipuri,NA,NA,NA,Manipuri,1,CLICS,mni,NA,NA,mni
ids-416-15-760-2,nap7,ROUGH,Maonan,NA,NA,NA,Maonan,1,CLICS,mmd,NA,NA,NA
lexirumah-lioo1240-rough-1,ngaga,ROUGH,Lio,NA,NA,NA,Lio,1,CLICS,ljl,trill,"Elias, Alexander (2019). Lio and the Central Flores languages (M.A. thesis). Leiden University.",NA
lexirumah-bima1247-rough-2,ngara,ROUGH,Bima,NA,NA,NA,Bima,1,CLICS,bhp,NA,NA,NA
marrisonnaga-Rengma-617_rough-1,njukemvu,ROUGH,Rengma,NA,NA,NA,Rengma,1,CLICS,nre,NA,NA,NA
lexirumah-sawa1247-rough-1,nmenenespa,ROUGH,Sawai,NA,NA,NA,Sawai,1,CLICS,szw,no rhotic,wiki,NA
marrisonnaga-Jingpho-617_rough-1,nra,ROUGH,Jingpho,NA,NA,NA,Jingpho,1,CLICS,kac,NA,NA,kac
lexirumah-irar1238-rough-1,n@t@f@tif@r@,ROUGH,Irarutu,NA,NA,NA,Irarutu,1,CLICS,irh,NA,NA,irh
ids-516-15-760-1,okhtsa,ROUGH,Ingush,NA,NA,NA,Ingush,1,CLICS,inh,NA,NA,inh
lexirumah-kamb1299-rough-1,pagaru,ROUGH,Kambera,NA,NA,NA,Kambera,1,CLICS,xbr,NA,NA,xbr
robinsonap-adang-235_rough-1,paluhu,ROUGH,Adang,NA,NA,NA,Adang,3,CLICS,adn,NA,NA,adn
halenepal-SahuTamang-1677_rough-1,phoppa,ROUGH,Tamang (Sahu),NA,NA,NA,Tamang,1,CLICS,taj,NA,NA,taj
robinsonap-wersing-235_rough-1,potor,ROUGH,Wersing,NA,NA,NA,Wersing,3,CLICS,kvw,trill,wiki,NA
wold-Gurindji-1038_rough1-1,purtuwurtu,ROUGH,Gurindji,NA,NA,NA,Gurindji,1,CLICS,gue,mixed with trill,wiki,NA
wold-Qeqchi-1038_rough1-2,purux,ROUGH,Q'eqchi',NA,NA,NA,Q'eqchi',1,CLICS,kek,NA,NA,kek
wold-Bezhta-1038_rough1-1,qacco,ROUGH,Bezhta,NA,NA,NA,Bezhta,3,CLICS,kap,trill,wiki,NA
wold-Archi-1038_rough1-1,qarqatut,ROUGH,Archi,NA,NA,NA,Archi,3,CLICS,aqc,NA,NA,aqc
ids-419-15-760-2,qe212ljan55,ROUGH,Southern Kam,NA,NA,NA,Southern Kam,1,CLICS,doc; kmc,no trill,wiki,NA
wold-Ket-1038_rough1-1,q@gbareng,ROUGH,Ket,NA,NA,NA,Ket,1,CLICS,ket,NA,NA,ket
wold-Bezhta-1038_rough1-2,qoqilo,ROUGH,Bezhta,NA,NA,NA,Bezhta,3,CLICS,kap,trill,wiki,NA
lexirumah-maka1316-rough-1,rabaka,ROUGH,Makasae,NA,NA,NA,Makasae,1,CLICS,mkz,no trill,"Correia, Aderito (2011). Describing Makasae: a trans-New Guinea language of East Timor (Ph.D. thesis). University of Western Sydney. - says tap in detailed description (""vibrant"" in the consonant phoneme table)",NA
wold-Takia-1038_rough1-1,raf,ROUGH,Takia,NA,NA,NA,Takia,1,CLICS,tbc,NA,NA,NA
lexirumah-fata1247-rough-1,rapake,ROUGH,Fataluku,NA,NA,NA,Fataluku,1,CLICS,ddg,trill,http://ling.hawaii.edu/wp-content/uploads/TylerHestonFinal.pdf,NA
wold-SeychellesCreole-1038_rough1-1,riderid,ROUGH,Seychelles Creole,NA,NA,NA,Seychelles Creole,1,CLICS,crs,NA,NA,NA
lexirumah-weta1243-rough-1,rotrota,ROUGH,Wetan,NA,NA,NA,Wetan,1,CLICS,lex,trill,"Taber, Kathleen B.; Taber, Mark H. (2015). Luang Grammar and Phonology Sketch. SIL e‑Books, 63. Dallas: SIL International.",NA
lexirumah-mang1405-rough-1,rugut,ROUGH,Manggarai,NA,NA,NA,Manggarai,1,CLICS,mqy,NA,NA,NA
lexirumah-dhao1237-rough-2,saka,ROUGH,Dhao,NA,NA,NA,Dhao,1,CLICS,nfa,trill,https://sil-philippines-languages.org/ical/papers/Grimes-Hawu_Dhao.pdf?_ga=GA1.2.34923686.1554420071&_gid=GA1.2.2128814745.1594140462,NA
robinsonap-teiwa-235_rough-1,sakar,ROUGH,Teiwa,NA,NA,NA,Teiwa,4,CLICS,twe,no rhotic,wiki,NA
ids-69-15-760-3,sar,ROUGH,Khinalug,NA,NA,NA,Khinalug,1,CLICS,kjj,trill,wiki,NA
marrisonnaga-Chang-617_rough-1,satsattambu,ROUGH,Chang,NA,NA,NA,Chang,1,CLICS,nbc,NA,NA,NA
robinsonap-kaera-235_rough-1,sekakir,ROUGH,Kaera,NA,NA,NA,Kaera,1,CLICS,jka,trill,wiki,NA
lexirumah-dhao1237-rough-1,sela,ROUGH,Dhao,NA,NA,NA,Dhao,1,CLICS,nfa,trill,https://sil-philippines-languages.org/ical/papers/Grimes-Hawu_Dhao.pdf?_ga=GA1.2.34923686.1554420071&_gid=GA1.2.2128814745.1594140462,NA
lexirumah-tiii1241-rough-1,sela,ROUGH,Tii,NA,NA,NA,Tii,1,CLICS,txq,NA,NA,NA
lexirumah-lole1239-rough-1,selak,ROUGH,Lole,NA,NA,NA,Lole,1,CLICS,bpz; dnk; llg; rgu; twu; txg,NA,NA,NA
wold-ImbaburaQuechua-1038_rough1-1,shagra,ROUGH,Imbabura Quechua,NA,NA,NA,Imbabura Quechua,1,CLICS,que,NA,NA,NA
lexirumah-mang1405-rough-2,s@hak,ROUGH,Manggarai,NA,NA,NA,Manggarai,1,CLICS,mqy,NA,NA,NA
ids-75-15-760-2,shoga,ROUGH,Chechen,NA,NA,NA,Chechen,2,CLICS,che,NA,NA,che
lexirumah-buna1278-bobon-rough-1,sitheni,ROUGH,"Bunak, Bobonaro",NA,NA,NA,Bunak,3,CLICS,bfn,trill,"Schapper, Antoinette (2009). Bunaq: a Papuan language of central Timor (Ph.D. thesis)",NA
wold-LowerSorbian-1038_rough1-2,skropaty,ROUGH,Lower Sorbian,NA,NA,NA,Lower Sorbian,1,CLICS,dsb,trill,wiki,NA
ids-107-15-760-2,sogiab,ROUGH,Avar,NA,NA,NA,Avar,13,CLICS,ava,NA,NA,ava
hantganbangime-Bangime-212_rough-1,sogoybe,ROUGH,Bangime,NA,NA,NA,Bangime,1,CLICS,dba,no trill,NA,NA
ids-703-15-760-1,sohkhruhsohkhram,ROUGH,Khasi,NA,NA,NA,Khasi,1,CLICS,kha,trill,wiki,kha
wold-Yaqui-1038_rough1-1,sosoko,ROUGH,Yaqui,NA,NA,NA,Yaqui,1,CLICS,yaq,NA,NA,yaq
lexirumah-woli1241-rough-2,tamparasa,ROUGH,Wolio,NA,NA,NA,Wolio,4,CLICS,wlo,trill,wiki,NA
lexirumah-kema1243-kaila-rough-1,tarakan,ROUGH,"Kemak, Kailaku",NA,NA,NA,Kemak,1,CLICS,kem,NA,NA,NA
marrisonnaga-ChungliAo-617_rough-1,terara,ROUGH,Ao Chungli,NA,NA,NA,Ao Chungli,1,CLICS,njo,NA,NA,njo
ids-66-15-760-1,tersdy,ROUGH,Rutul,NA,NA,NA,Rutul,5,CLICS,rut,NA,NA,rut
ids-417-15-760-1,tho1,ROUGH,Mulam,NA,NA,NA,Mulam,1,CLICS,mlm,no rhotic,"Coyaud, M (1987) Les Langues Dans Le Monde Chinois. Pour l'Analyse du Folklore, Paris.",NA
ids-72-15-760-2,tiri,ROUGH,Kumyk,NA,NA,NA,Kumyk,6,CLICS,kum,trill,https://www.omniglot.com/writing/kumyk.php,NA
wold-Kalina-1038_rough1-1,tiwakalake,ROUGH,Kali'na,NA,NA,NA,Kali'na,1,CLICS,car,NA,NA,car
lexirumah-mang1405-rough-3,tsirang,ROUGH,Manggarai,NA,NA,NA,Manggarai,1,CLICS,mqy,NA,NA,NA
ids-319-15-760-1,tsyrymykhkh,ROUGH,Ossetic,NA,NA,NA,Ossetic,1,CLICS,oss,NA,NA,oss
ids-80-15-760-1,tund,ROUGH,Udi,NA,NA,NA,Udi,1,CLICS,udi,trill,wiki,NA
wold-Qeqchi-1038_rough1-5,turux,ROUGH,Q'eqchi',NA,NA,NA,Q'eqchi',1,CLICS,kek,NA,NA,kek
ids-533-15-760-1,ukhiamur,ROUGH,Tsova-Tush,NA,NA,NA,Tsova-Tush,1,CLICS,bbl,NA,NA,bbl
