Language,Dataset,AutotypMatch,Action
"South Mambae, Letefoho",CLICS,mgm,missing
Standard Albanian,CLICS,NA,exclude
Standard Arabic,CLICS,arb,
Suboo,CLICS,NA,exclude
Sulung [Puroik],CLICS,suv,
Sunwar,CLICS,suz,
Swahili,CLICS,swa,
Tabasaran (Southern dialect),CLICS,tab,
Takia,CLICS,tbc,
Talise,CLICS,NA,exclude
Tamang (Sahu),CLICS,taj,
Tandai,CLICS,NA,exclude
Tangkhul,CLICS,nmf,
Tangsa (Yogli),CLICS,nst,
Tanimuca,CLICS,tnc,
Tariano,CLICS,tae,
Tarifiyt Berber,CLICS,rif,
Tataba,CLICS,mrn,
Tatar,CLICS,tat,
Tatuyo,CLICS,tav,
Tawaroga,CLICS,NA,exclude
Tebul_Ure,CLICS,dtu,missing
Teiwa,CLICS,twe,
Termanu,CLICS,NA,exclude
"Tetun, Suai",CLICS,tdt,missing
Thakali,CLICS,ths,
Tii,CLICS,txq,
Tikopia,CLICS,tkp,
Tindi,CLICS,tin,
Tiranige_Diga,CLICS,tde,missing
Tiyei,CLICS,NA,exclude
To'ambaita,CLICS,mlu,
Togo_Kan,CLICS,dtm,missing
Tolo,CLICS,NA,exclude
Tommo_So,CLICS,dto,
Toro_Tegu,CLICS,NA,exclude
Totoró,CLICS,ttk,missing
Trung [Dulong],CLICS,duu,
Tsafiqui Pila,CLICS,cof,
Tsakhur,CLICS,tkr,
Tsangla (Motuo),CLICS,tsj,
Tsez,CLICS,ddo,
Tshona (Mama),CLICS,twm,missing
Tsova-Tush,CLICS,bbl,
Tubbe,CLICS,lev,
Tucano,CLICS,tuo,
Tujia,CLICS,tji; tjs,
"Tukang Besi, Binongko",CLICS,bhq,
Tundra Nenets,CLICS,yrk,
Tunebo Central,CLICS,tuf,
Tunöe,CLICS,baa,
Udi,CLICS,udi,
Ughele,CLICS,uge,missing
Uki Ni Masi,CLICS,NA,exclude
Ulawa,CLICS,NA,exclude
Uruangnirin,CLICS,urn,missing
Vaghua,CLICS,tva,missing
Vangunu,CLICS,mpr,missing
Vano,CLICS,vnk,
Varisi,CLICS,vrs,exclude
Veps,CLICS,vep,
Waerana,CLICS,wrx,missing
Waima'a,CLICS,wmh,missing
Waimaja,CLICS,bao,
Wakole,CLICS,NA,exclude
Wakung,CLICS,cnk,exclude
Walade (LauS),CLICS,llu,
Wanano,CLICS,gvc,
Wayuu,CLICS,guc,
Welaun,CLICS,wlh,missing
Wersing,CLICS,kvw,
Western Farsi,CLICS,pes,
Western Pantar,CLICS,lev,
Wetan,CLICS,lex,
White Hmong,CLICS,mww,
Witoto Mi̵ni̵ca,CLICS,hto,
Witoto Murui,CLICS,huu,
Witoto Ni̵pode,CLICS,hux,
Wolio,CLICS,wlo,
Wolowa,CLICS,NA,exclude
Wotu,CLICS,wtw,missing
Wounaan,CLICS,noa,
Xokleng,CLICS,xok,
Xumi,CLICS,sxg,missing
Yanda_Dom,CLICS,dym,missing
Yaqui,CLICS,yaq,
Yi (Mile),CLICS,yix,
Yorno_So,CLICS,NA,exclude
Yucuna,CLICS,ycn,
Yukpa,CLICS,yup,
Yurutí,CLICS,yui,
Zeme,CLICS,nzm,
Zinacantán Tzotzil,CLICS,tzo,
