Word,MainYear,EtymonYear,EtymonYearProcessed,Etymology,Origin,Borrowed,ObscureOrigin,Imitative,IE_root_watkins_2000,DetailedForm_watkins_2000,AlternativeForm
rigid,?a1425/1615,,1425,,Latin / French borrowing,yes,no,no,reig-,reig-,
rust,eOE/OE/?c1225,,650,,Germanic,no,no,no,reudh-,reudh-,
ragged,c1300,,1300,,origin uncertain,no,yes,no,reue-,reue-,rag
rough,OE/?c1225,,900,,Germanic,no,no,no,reue-,reue-,
rugged,?a1300/c1330,,1300,,origin uncertain,no,yes,no,reue-,reue-,rug
shiny,1590,c725,725,shine,Germanic,no,no,no,skai-,skai-,shine
lubricated,1781,1623,1623,lubricate,French borrowing 1490 'lubric',yes,no,no,sleubh-,sleubh-,lubricate
solid,c1400,,1400,,French borrowing,yes,no,no,sol-,sol-,
stiff,1000,,1000,,Germanic,no,no,no,steip-,steip-,
stubbly,1600,1297,1297,stubble,French borrowing,yes,no,no,steip-,steip-,stubble
starched,1617,c1000,1000,stark,Germanic,no,no,no,ster-,ster-,starch
indestructible,1674,1297,1297,destroy,Latin,yes,no,no,stere-,stere-,destroy
tender,?a1200/?c1225,,1225,,French borrowing,yes,no,no,ten-,ten-,
wafflish,1930,1295,1295,wafer,French borrowing,yes,no,no,webh-,webh-,waffle
woven,c1478/1488,c900,900,weave,Germanic,no,no,no,webh-,webh-,weave
velour,1706,1587,1587,velure,French borrowing,yes,no,no,wel-,wel-,
velvety,1752,1320,1320,velvet,Latin,yes,no,no,wel-,wel-,velvet
flannel,1503,,1503,,uncertain origin,no,yes,no,wele-,wele-,
woolly,1591,c725,725,wool,Germanic,no,no,no,wele-,wele-,wool
wooden,1538,c725/OE,725,wood,Germanic,no,no,no,widhu-,widhu-,wood
waxy,1552,805-810,805,wax,Germanic,no,no,no,wokso-,wokso-,wax
disjointed,a1643,1483,1483,disjoin,French borrowing,yes,no,no,yeug-,yeug-,joint
