"*bʰs-eh₂-tó-","‘chewed up, eaten, drunk’ [adj. | meso.] : Ind | *bʰes"
"*h₃bʰrúh₀-","‘brow, eyebrow’ [f. | acro.] : IIr Gk Celt Gm BSl T | *h₃bʰruh₀"
"*bʰuh₂-","‘world’ [f.] : Ind | *bʰuh₂"
"*bʰuh₂-men","‘earth, growing thing’ [nt.] : Ind Nur Gk Alb | *bʰuh₂"
"*bʰuh₂-mi-","‘earth, land’ [f.] : IIr | *bʰuh₂"
"*bʰuh₂-r-i-","‘numerous, abundant’ [adj.] : IIr | *bʰuh₂"
"*bʰuh₂-r-i‑o-","‘troop, herd, pile’ [m.] : Balt | *bʰuh₂"
"*bʰuh₂-ti-","‘existence; well-being; abode’ [f.] : Ind Nur | *bʰuh₂"
"*deh₃-","‘giving; ↪giver’ [adj.] : Ind | *deh₃"
"*deh₃-t-","‘gift; dowry’ [f.] : It | *deh₃"
"*déh₃-mn̥ / *dh₃-mén-","‘gift’ [sb. | prot.] : Ind Gk | *deh₃"
"*deh₃-ni-","‘donation, fee’ [f.] : BSl | *deh₃"
"*déh₃-ti- / *dh₃-téi-","‘giving’ [f. | prot.] : Iran Gk It | *deh₃"
"*déh₃-nu","‘gift, artistic gift, poetry, knowledge’ [nt.] : Celt | *deh₃"
"*déh₃-isth₂-o- (*dóisth₂o-)","‘most- or best-giving’ [adj. | acro.] : IIr | *deh₃"
"*déh₃-no-","‘gift’ [mnt.] : It + | *deh₃"
"*deh₃-ro-","‘gift’ [mnt.] : Gk Arm Sl | *deh₃"
"*dh₃-tó-","‘given, which is given’ [adj. | meso.] : Gk It | *deh₃"
"*deh₃-to-","‘given’ [adj.] : Ind | *deh₃"
"*déiẖ₂‑u̯-ih₂ / **di̯u-i̯éh₂-","‘goddess’ [f. | ? prot.] : Ind It Balt | *deih₂"
"↷↯*di̯-u-mn-o-","‘heavenly splendour’ [↷nt.] : Ind | *deih₂"
"*dénk̑-mn̥ / *dn̥k̑-mén-","‘bite, place a bite was taken’ [nt. | prot.] : Ind | *denk̑"
"*donk̑-éh₂","‘tongs’ [f. | meso.] : Gm | *denk̑"
"*dʰl̥h₁-i-","‘favorable, welcome’ [adj.] : Anat Gk | *dʰelh₁"
"*dʰl̥h₁-e‑ro-","‘plump, lush, fresh, green’ [adj.] : Gk Arm | *dʰelh₁"
"*dʰl̥h₁-os / *dʰálh₁-es-","‘shoot, scion’ [nt. | acro.] : Gk | *dʰelh₁"
"*dʰolẖ₁-io‑","‘leaf’ [sb.] : It Celt | *dʰelh₁"
"*dʰébʰ-u- / *dʰₑbʰ-éu-","‘few, little, slight, minor’ [adj. | prot.] : Anat | *dʰebʰ"
"*dʰébʰ-tu-","‘disadvantage’ [sb.] : Ind | *dʰebʰ"
"↷ *dʰebʰ-ró-","‘slight, minor, few, meager’ [↷adj. | meso.] : Ind | *dʰebʰ"
"*dʰg̑ʰ⸰em-ieh₂","‘earth, land’ [f.] : BSl | *dʰeg̑ʰ⁃om"
"*dʰéh₁-mn̥","‘residence, abode, basis; grave; creation (universe); accumulation’ [nt.] : IIr | *dʰeh₁ ¹"
"*dʰéh₁-ter- ; [nsg.] *dʰéh₁-tēr","‘creator’ [m.] : IIr | *dʰeh₁ ¹"
"*dʰeh₁-lo-","‘act, work, thing’ [sb.] : Sl | *dʰeh₁ ¹"
"**dʰéh₁-s- / **dʰh₁‑(é)s‑","‘altar, votive object; god, deity’ [sb. | prot. or amph. ?] : Gk It Arm + | *dʰeh₁ ¹"
"*dʰoh₁-mo-","‘accumulation; placement, judgment’ [m.] : Gk Gm | *dʰeh₁ ¹"
"*dʰh₁-tó-","‘placed, situated’ [adj. | meso.] : Ind Gk It | *dʰeh₁ ¹"
"*dʰeh₁-to-","‘placed, situated’ [adj.] : Iran | *dʰeh₁ ¹"
"*dʰh₁-tleh₂","‘meeting, court, trial, debate’ [f.] : Celt | *dʰeh₁ ¹"
"*dʰh₁k̇-tór ; [nsg.] *dʰh₁k‑tṓr (← *‑tor‑s)","‘maker’ [m.] : It | *dʰeh₁⁃k̇"
"*dʰh₁k̇-tó-","‘made; ↪︎ deed, fact, action’ [adj. | meso.] : It | *dʰeh₁⁃k̇"
"*dʰig̑ʰ-o|eh₂-","‘wall, fortress’ [sb.] : Iran Sl + | *dʰeig̑ʰ"
"*dʰéig̑ʰ-os / *dʰéig̑ʰ-es-","‘wall’ [nt. | acro.] : Gk | *dʰeig̑ʰ"
"*dʰóig̑ʰ-o-","‘wall, compound; body, structure; pile, heap; dough’ [sb. | acro.] : IIr Gk Gm Arm | *dʰeig̑ʰ"
